pvs,r_frames_4k,r_frames_1080,mean_v0_4k,mean_v1_4k,range_v0_4k,range_v1_4k,res_label,codec,crf,src
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf40,0.960376886818672,0.9732475262827995,86.31199596153844,80.69420399230769,15.498414000000011,20.476543000000007,720p,vp9,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf50,0.9800850049602424,0.9862131157864743,75.26528451538462,61.730073169230764,20.494776,28.807075999999995,720p,vp9,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1280x720__vp9__crf60,0.9892913252127887,0.9916913496392205,60.11117359230769,34.7885982923077,21.39150200000001,35.399544000000006,720p,vp9,60,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__av1__crf20,0.8759284980089342,0.866051767641463,98.25189511538463,98.14740476153845,5.493829000000005,4.2856940000000066,1080p,av1,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__av1__crf30,0.8609972177815848,0.8728953721301387,97.22497477692308,96.67582802307692,6.407716000000008,5.087253999999987,1080p,av1,30,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__av1__crf40,0.9099812776549169,0.9156071054605426,95.75484123846154,94.59770154615384,7.286474999999996,6.689360000000008,1080p,av1,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__av1__crf50,0.9374819503066225,0.949568664999064,93.76173218461537,91.5848613,9.100457000000006,9.509681,1080p,av1,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__av1__crf60,0.9616852860612481,0.9718693068339497,88.03288291538462,83.30798513076924,9.183418000000003,9.051058000000012,1080p,av1,60,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf18,0.9120591256504226,0.8718109436932467,97.72486641538461,97.52196573076924,4.619586999999996,5.063770000000005,1080p,h264,18,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf23,0.9299938130458848,0.923850142429119,94.83793144615386,93.77674486923075,6.629021000000009,7.612838000000011,1080p,h264,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf28,0.9668533086224529,0.9665482131346835,89.03141863846155,86.31217744615384,8.619101999999998,8.888046000000003,1080p,h264,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf33,0.983893548198778,0.9851408131770528,78.69491034615385,74.20919296923077,13.112775000000013,13.698065999999997,1080p,h264,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf38,0.9759327351334762,0.9812870575893575,63.59106950769232,55.75116051538462,17.00682799999999,21.889409999999998,1080p,h264,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf43,0.9707597933386093,0.9769179234870824,47.80675668461539,31.15586221538462,13.903137000000001,25.059205000000002,1080p,h264,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf18,0.9405448065655969,0.8936356175444301,97.48643372307693,97.47788275384616,5.5632030000000015,5.1710879999999975,1080p,hevc,18,Aerial3200_1920x1080_5994_10bit_420
