pvs,src,codec,res_label,short_side,crf,pvs_set,bitrate_kbps,src_bitdepth,fps,v0_1080,v0_4k,v1_1d5h_2160,v1_1d5h_2160_8bit,v1_3d0h_1080
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf23,Aerial3200_1920x1080_5994_10bit_420,h264,1080p,1080,23,ladder,6228.839,10-bit src,59.94006309148265,92.279,94.838,93.777,93.777,92.965
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf28,Aerial3200_1920x1080_5994_10bit_420,h264,1080p,1080,28,ladder,2864.044,10-bit src,59.94006309148265,83.559,89.031,86.312,86.312,86.303
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf33,Aerial3200_1920x1080_5994_10bit_420,h264,1080p,1080,33,ladder,1643.363,10-bit src,59.94006309148265,67.563,78.695,74.209,74.209,75.383
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf38,Aerial3200_1920x1080_5994_10bit_420,h264,1080p,1080,38,ladder,1020.4,10-bit src,59.94006309148265,44.462,63.591,55.751,55.751,58.451
Aerial3200_1920x1080_5994_10bit_420__1920x1080__h264__crf43,Aerial3200_1920x1080_5994_10bit_420,h264,1080p,1080,43,ladder,592.781,10-bit src,59.94006309148265,22.743,47.807,31.156,31.156,35.372
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf18,Aerial3200_1920x1080_5994_10bit_420,hevc,1080p,1080,18,ladder,14255.243,10-bit src,59.94006309148265,96.073,97.486,97.478,97.478,96.261
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf23,Aerial3200_1920x1080_5994_10bit_420,hevc,1080p,1080,23,ladder,5708.864,10-bit src,59.94006309148265,92.773,95.139,94.016,94.016,93.177
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf28,Aerial3200_1920x1080_5994_10bit_420,hevc,1080p,1080,28,ladder,2425.877,10-bit src,59.94006309148265,86.116,90.692,87.543,87.543,87.406
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf33,Aerial3200_1920x1080_5994_10bit_420,hevc,1080p,1080,33,ladder,1100.403,10-bit src,59.94006309148265,73.607,82.631,76.481,76.481,77.446
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf38,Aerial3200_1920x1080_5994_10bit_420,hevc,1080p,1080,38,ladder,536.007,10-bit src,59.94006309148265,53.859,69.976,59.33,59.33,61.765
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf43,Aerial3200_1920x1080_5994_10bit_420,hevc,1080p,1080,43,ladder,277.27,10-bit src,59.94006309148265,29.351,52.943,34.355,34.355,38.415
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf20,Aerial3200_1920x1080_5994_10bit_420,vp9,1080p,1080,20,ladder,27053.905,10-bit src,59.94006309148265,97.562,98.601,98.253,98.253,97.085
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf30,Aerial3200_1920x1080_5994_10bit_420,vp9,1080p,1080,30,ladder,10302.816,10-bit src,59.94006309148265,94.742,96.578,95.386,95.386,94.417
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf40,Aerial3200_1920x1080_5994_10bit_420,vp9,1080p,1080,40,ladder,4007.649,10-bit src,59.94006309148265,87.743,91.784,88.057,88.057,87.86
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf50,Aerial3200_1920x1080_5994_10bit_420,vp9,1080p,1080,50,ladder,1601.353,10-bit src,59.94006309148265,74.763,83.281,73.855,73.855,75.048
